ID	Article	Reference	Title	Year	Participants	Formula	Formula_type	Correlation	Corrected_r	r_nature	N_sub	%Women	Instructions_orig	Instructions_comb	N_trials	Time_intervals	Questionnaire	Variance
Rae 2019 (c.)	30	Rae et al., 2019	Dimensions of interoception predict premonitory urges and tic severity in Tourette syndrome	2019	patients	1 - (|actual - reported|)/((actual + reported)/2)	1	0.03	0.03	0	21	42.86	2	2	6	25, 30, 35, 40, 45, 50	STAI-T	0.05258421053
Rae 2019 (h.)	30	Rae et al., 2019	Dimensions of interoception predict premonitory urges and tic severity in Tourette syndrome	2019	healthy	1 - (|actual - reported|)/((actual + reported)/2)	1	0.26	0.26	0	22	45.45	2	2	6	25, 30, 35, 40, 45, 50	STAI-T	0.04662
Schultchen 2019 (1) (c.)	31	Schultechen et al., 2019	Interoceptive deficits in patients with obsessive-compulsive disorder in the time course of cognitive-behavioral therapy	2019	patients	0	0	0.425	0.425	1	26	61.54	1	1	3	25, 35, 45	STAI-T	0.034140625
Schultchen 2019 (1) (h.)	31	Schultechen et al., 2019	Interoceptive deficits in patients with obsessive-compulsive disorder in the time course of cognitive-behavioral therapy	2019	healthy	0	0	0.19	0.19	1	26	61.54	1	1	3	25, 35, 45	STAI-T	0.0401625
Watson 2019	32	Watson et al., 2019	Computerized Exposure Therapy for Spider Phobia: Effects of Cardiac Timing and Interoceptive Ability on Subjective and Behavioral Outcomes	2019	healthy	1 - (|actual - reported|)/((actual + reported)/2)	1	0.008	0.008	0	54	85.2	2	2	6	25, 30, 35, 40, 45, 50	STAI-T	0.01922953846
Schulz 2020	33	Schulz et al., 2020	Distinctive body perception mechanisms in high versus low symptom reporters: A neurophysiological model for medically-unexplained symptoms	2020	healthy	0	0	-0.12	-0.12	0	58	81	3	2	6	25, 35, 45, 55, 65, 75	STAI-T	0.0176
Botan 2021 Exp2	34	Botan et al., 2021	Different psychophysiological and clinical symptoms are linked to affective versus sensory vicarious pain experiences	2021	healthy	1 - (|actual - reported|)/((actual + reported)/2)	1	0.03	0.03	0	63	80	2	2	6	25, 30, 35, 40, 45, 50	STAI-T	0.01637868852
Quadt 2021	35	Quadt et al., 2021	Interoceptive training to target anxiety in autistic adults (ADIE): A single-center, superiority randomized controlled trial	2021	patients	1 - (|actual - reported|)/((actual + reported)/2)	1	0.03	0.03	0	121	55	2	2	6	25, 30, 35, 40, 45, 50	STAI-T	0.008395798319
Bokk 2022	36	Bokk and Foster, 2022	The Effect of a Short Mindfulness Meditation on Somatosensory Attention	2022	healthy	0	0	-0.06	-0.06	0	35	NA	1	1	4	20, 35, 45, 100	STAI-T	0.03019393939
Noda 2022	37	Noda et al., 2022	Interoception is associated with anxiety and depression in pregnant women: A pilot study	2022	healthy	0	0	-0.102	-0.102	0	32	100	1	1	3	25, 35, 45	STAI-T	0.03298653333
Yoshino 2022	38	Yoshino et al., 2022	Interoceptive accuracy is related to the psychological mechanisms of the burning mouth syndrome: a cross-sectional study	2022	patients	0	0	0.0625	0.07	1	64	100	1	1	4	25, 35, 45, 60	STAI-T	0.01605
Zhou 2022	39	Zhou et al., 2022	Interoception Dysfunction Contributes to the Negative Emotional Bias in Major Depressive Disorder	2022	healthy	0	0	-0.468	-0.468	0	27	44.44	3	2	5	25, 35, 45, 55, 60 (x2)	STAI-T	0.03123904
Critchley 2023 (h.)	40	Critchley et al., 2023	Cardiac interoception in patients accessing secondary mental health services: A transdiagnostic study	2023	healthy	1 - (|actual - reported|)/((actual + reported)/2)	1	0.04	0.04	0	65	61.54	2	2	6	25, 30, 35, 40, 45, 50	STAI-T	0.01584761905
Critchley 2023 (c.)	40	Critchley et al., 2023	Cardiac interoception in patients accessing secondary mental health services: A transdiagnostic study	2023	patients	1 - (|actual - reported|)/((actual + reported)/2)	1	0.09	0.09	0	288	58.33	2	2	6	25, 30, 35, 40, 45, 50	STAI-T	0.003468181818
Kormendi 2023	41	Kormendi et al., 2023	Do we need to accurately perceive our heartbeats? Cardioceptive accuracy and sensibility are independent from indicators of negative affectivity, body awareness, body image dissatisfaction, and alexithymia	2023	healthy	0	0	0.097	0.097	0	102	87.25	3	2	3	25, 35, 45	STAI-T	0.00990591
Parfenov 2023	42	Parfenov and Duncan, 2023	Increasing familiarity with the heartbeat counting task does not affect performance	2023	healthy	0	0	0.13	0.13	0	79	56.96	3	2	21	25, 35, 45 (x7)	STAI-T	0.01276753247
